28/2/2024    14:20:24  33   frequency(Hz)1995.0
28/2/2024    14:20:25  36   frequency(Hz)3981.0
28/2/2024    14:20:26  32   frequency(Hz)1585.0
28/2/2024    14:20:27  34   frequency(Hz)2512.0
28/2/2024    14:20:28  34   frequency(Hz)2512.0
28/2/2024    14:20:29  33   frequency(Hz)1995.0
28/2/2024    14:20:30  37   frequency(Hz)5012.0
28/2/2024    14:20:31  32   frequency(Hz)1585.0
28/2/2024    14:20:32  34   frequency(Hz)2512.0
28/2/2024    14:20:33  33   frequency(Hz)1995.0
28/2/2024    14:20:35  34   frequency(Hz)2512.0
28/2/2024    14:20:36  37   frequency(Hz)5012.0
28/2/2024    14:20:37  32   frequency(Hz)1585.0
28/2/2024    14:20:38  34   frequency(Hz)2512.0
28/2/2024    14:20:39  33   frequency(Hz)1995.0
28/2/2024    14:20:40  34   frequency(Hz)2512.0
28/2/2024    14:20:41  35   frequency(Hz)3162.0
28/2/2024    14:20:42  33   frequency(Hz)1995.0
28/2/2024    14:20:43  33   frequency(Hz)1995.0
28/2/2024    14:20:44  32   frequency(Hz)1585.0
28/2/2024    14:20:46  34   frequency(Hz)2512.0
28/2/2024    14:20:47  34   frequency(Hz)2512.0
28/2/2024    14:20:48  34   frequency(Hz)2512.0
28/2/2024    14:20:49  36   frequency(Hz)3981.0
28/2/2024    14:20:50  33   frequency(Hz)1995.0
28/2/2024    14:20:51  33   frequency(Hz)1995.0
28/2/2024    14:20:52  33   frequency(Hz)1995.0
28/2/2024    14:20:53  32   frequency(Hz)1585.0
28/2/2024    14:20:54  35   frequency(Hz)3162.0
28/2/2024    14:20:55  33   frequency(Hz)1995.0
28/2/2024    14:20:57  34   frequency(Hz)2512.0
28/2/2024    14:20:58  33   frequency(Hz)1995.0
28/2/2024    14:20:59  34   frequency(Hz)2512.0
28/2/2024    14:21:0  35   frequency(Hz)3162.0
28/2/2024    14:21:1  32   frequency(Hz)1585.0
28/2/2024    14:21:2  34   frequency(Hz)2512.0
28/2/2024    14:21:3  32   frequency(Hz)1585.0
28/2/2024    14:21:4  35   frequency(Hz)3162.0
28/2/2024    14:21:5  35   frequency(Hz)3162.0
28/2/2024    14:21:6  32   frequency(Hz)1585.0
28/2/2024    14:21:8  34   frequency(Hz)2512.0
28/2/2024    14:21:9  33   frequency(Hz)1995.0
28/2/2024    14:21:10  33   frequency(Hz)1995.0
28/2/2024    14:21:11  35   frequency(Hz)3162.0
28/2/2024    14:21:12  32   frequency(Hz)1585.0
28/2/2024    14:21:13  34   frequency(Hz)2512.0
28/2/2024    14:21:14  34   frequency(Hz)2512.0
28/2/2024    14:21:15  32   frequency(Hz)1585.0
28/2/2024    14:21:16  34   frequency(Hz)2512.0
28/2/2024    14:21:17  34   frequency(Hz)2512.0
28/2/2024    14:21:19  35   frequency(Hz)3162.0
28/2/2024    14:21:20  35   frequency(Hz)3162.0
28/2/2024    14:21:21  32   frequency(Hz)1585.0
28/2/2024    14:21:22  34   frequency(Hz)2512.0
28/2/2024    14:21:23  35   frequency(Hz)3162.0
28/2/2024    14:21:24  32   frequency(Hz)1585.0
28/2/2024    14:21:26  35   frequency(Hz)3162.0
28/2/2024    14:21:27  35   frequency(Hz)3162.0
28/2/2024    14:21:29  32   frequency(Hz)1585.0
28/2/2024    14:21:30  35   frequency(Hz)3162.0
28/2/2024    14:21:32  34   frequency(Hz)2512.0
28/2/2024    14:21:33  34   frequency(Hz)2512.0
28/2/2024    14:21:35  35   frequency(Hz)3162.0
28/2/2024    14:21:36  32   frequency(Hz)1585.0
28/2/2024    14:21:38  35   frequency(Hz)3162.0
28/2/2024    14:21:39  34   frequency(Hz)2512.0
28/2/2024    14:21:41  32   frequency(Hz)1585.0
28/2/2024    14:21:42  35   frequency(Hz)3162.0
28/2/2024    14:21:44  32   frequency(Hz)1585.0
28/2/2024    14:21:45  34   frequency(Hz)2512.0
28/2/2024    14:21:47  34   frequency(Hz)2512.0
28/2/2024    14:21:48  33   frequency(Hz)1995.0
28/2/2024    14:21:50  35   frequency(Hz)3162.0
28/2/2024    14:21:51  32   frequency(Hz)1585.0
28/2/2024    14:21:53  34   frequency(Hz)2512.0
28/2/2024    14:21:54  34   frequency(Hz)2512.0
28/2/2024    14:21:56  34   frequency(Hz)2512.0
28/2/2024    14:21:58  36   frequency(Hz)3981.0
28/2/2024    14:21:59  32   frequency(Hz)1585.0
28/2/2024    14:22:1  36   frequency(Hz)3981.0
28/2/2024    14:22:2  33   frequency(Hz)1995.0
28/2/2024    14:22:4  32   frequency(Hz)1585.0
28/2/2024    14:22:5  35   frequency(Hz)3162.0
28/2/2024    14:22:7  30   frequency(Hz)1000.0
28/2/2024    14:22:8  34   frequency(Hz)2512.0
28/2/2024    14:22:10  32   frequency(Hz)1585.0
28/2/2024    14:22:11  35   frequency(Hz)3162.0
28/2/2024    14:22:13  34   frequency(Hz)2512.0
28/2/2024    14:22:14  33   frequency(Hz)1995.0
28/2/2024    14:22:16  36   frequency(Hz)3981.0
28/2/2024    14:22:17  32   frequency(Hz)1585.0
28/2/2024    14:22:19  35   frequency(Hz)3162.0
28/2/2024    14:22:20  32   frequency(Hz)1585.0
28/2/2024    14:22:22  33   frequency(Hz)1995.0
28/2/2024    14:22:23  34   frequency(Hz)2512.0
28/2/2024    14:22:25  33   frequency(Hz)1995.0
28/2/2024    14:22:26  37   frequency(Hz)5012.0
28/2/2024    14:22:28  32   frequency(Hz)1585.0
28/2/2024    14:22:29  32   frequency(Hz)1585.0
28/2/2024    14:22:31  32   frequency(Hz)1585.0
28/2/2024    14:22:32  34   frequency(Hz)2512.0
28/2/2024    14:22:34  35   frequency(Hz)3162.0
28/2/2024    14:22:35  33   frequency(Hz)1995.0
28/2/2024    14:22:37  35   frequency(Hz)3162.0
28/2/2024    14:22:38  32   frequency(Hz)1585.0
28/2/2024    14:22:40  35   frequency(Hz)3162.0
28/2/2024    14:22:41  29   frequency(Hz)794.0
28/2/2024    14:22:43  32   frequency(Hz)1585.0
28/2/2024    14:22:44  32   frequency(Hz)1585.0
28/2/2024    14:22:46  32   frequency(Hz)1585.0
28/2/2024    14:22:47  35   frequency(Hz)3162.0
28/2/2024    14:22:49  31   frequency(Hz)1259.0
28/2/2024    14:22:50  33   frequency(Hz)1995.0
28/2/2024    14:22:52  32   frequency(Hz)1585.0
28/2/2024    14:22:53  33   frequency(Hz)1995.0
28/2/2024    14:22:55  34   frequency(Hz)2512.0
28/2/2024    14:22:56  32   frequency(Hz)1585.0
28/2/2024    14:22:58  33   frequency(Hz)1995.0
28/2/2024    14:22:59  31   frequency(Hz)1259.0
